id	m_country_code	m_province_code	current_salary	m_current_currency_code	expected_salary	m_currency_code	years_of_experience	is_full_registration	vn_job_category_code	vn_job_sub_category_code	vn_job_category_code	vn_job_sub_category_code	m_position_code	m_country_code	m_province_code
106332	VN	VN-SG	15000000	VND	15000000	VND	5	1	6	24	6	24	1	VN	VN-SG
106332	VN	VN-SG	15000000	VND	15000000	VND	5	1	6	26	6	24	1	VN	VN-SG
106340	VN	VN-39	18000000	VND	20000000	VND	8	1	4	18	NULL	NULL	NULL	VN	VN-39
106343	VN	VN-SG	9000000	VND	15000000	VND	5	0	16	91	NULL	NULL	NULL	VN	VN-SG
106344	VN	VN-39	8000000	VND	10000000	VND	3	1	14	76	14	76	1	VN	VN-39
106344	VN	VN-39	8000000	VND	10000000	VND	3	1	14	76	14	76	2	VN	VN-39
106358	VN	VN-39	30000000	VND	37000000	VND	11	1	4	17	4	17	1	VN	VN-39
106360	VN	VN-57	5000000	VND	6000000	VND	1	1	8	39	NULL	NULL	NULL	VN	VN-57
106360	VN	VN-57	5000000	VND	6000000	VND	1	1	8	39	NULL	NULL	NULL	VN	VN-SG
106364	VN	VN-SG	15000000	VND	17000000	VND	5	1	4	16	4	19	4	VN	VN-SG
106364	VN	VN-SG	15000000	VND	17000000	VND	5	1	4	18	4	19	4	VN	VN-SG
106369	VN	VN-SG	1500	USD	1500	USD	11	1	13	71	13	74	5	VN	VN-SG
106369	VN	VN-SG	1500	USD	1500	USD	11	1	13	71	13	71	4	VN	VN-SG
106369	VN	VN-SG	1500	USD	1500	USD	11	1	13	71	13	74	4	VN	VN-SG
106369	VN	VN-SG	1500	USD	1500	USD	11	1	13	71	13	74	4	VN	VN-SG
106369	VN	VN-SG	1500	USD	1500	USD	11	1	13	71	13	74	4	VN	VN-SG
106369	VN	VN-SG	1500	USD	1500	USD	11	1	13	71	10	49	4	VN	VN-SG
106369	VN	VN-SG	1500	USD	1500	USD	11	1	13	71	2	7	4	VN	VN-SG
106369	VN	VN-SG	1500	USD	1500	USD	11	1	13	71	13	74	2	VN	VN-SG
106369	VN	VN-SG	1500	USD	1500	USD	11	1	13	71	13	74	1	VN	VN-SG
106369	VN	VN-SG	1500	USD	1500	USD	11	1	13	73	13	74	5	VN	VN-SG
106369	VN	VN-SG	1500	USD	1500	USD	11	1	13	73	13	71	4	VN	VN-SG
106369	VN	VN-SG	1500	USD	1500	USD	11	1	13	73	13	74	4	VN	VN-SG
106369	VN	VN-SG	1500	USD	1500	USD	11	1	13	73	13	74	4	VN	VN-SG
106369	VN	VN-SG	1500	USD	1500	USD	11	1	13	73	13	74	4	VN	VN-SG
106369	VN	VN-SG	1500	USD	1500	USD	11	1	13	73	10	49	4	VN	VN-SG
106369	VN	VN-SG	1500	USD	1500	USD	11	1	13	73	2	7	4	VN	VN-SG
106369	VN	VN-SG	1500	USD	1500	USD	11	1	13	73	13	74	2	VN	VN-SG
106369	VN	VN-SG	1500	USD	1500	USD	11	1	13	73	13	74	1	VN	VN-SG
106369	VN	VN-SG	1500	USD	1500	USD	11	1	13	74	13	74	5	VN	VN-SG
106369	VN	VN-SG	1500	USD	1500	USD	11	1	13	74	13	71	4	VN	VN-SG
106369	VN	VN-SG	1500	USD	1500	USD	11	1	13	74	13	74	4	VN	VN-SG
106369	VN	VN-SG	1500	USD	1500	USD	11	1	13	74	13	74	4	VN	VN-SG
106369	VN	VN-SG	1500	USD	1500	USD	11	1	13	74	13	74	4	VN	VN-SG
106369	VN	VN-SG	1500	USD	1500	USD	11	1	13	74	10	49	4	VN	VN-SG
106369	VN	VN-SG	1500	USD	1500	USD	11	1	13	74	2	7	4	VN	VN-SG
106369	VN	VN-SG	1500	USD	1500	USD	11	1	13	74	13	74	2	VN	VN-SG
106369	VN	VN-SG	1500	USD	1500	USD	11	1	13	74	13	74	1	VN	VN-SG
106373	NULL	NULL	7000000	VND	10000000	VND	2	0	13	69	NULL	NULL	NULL	VN	VN-SG
106382	VN	VN-SG	5000000	VND	7000000	VND	0	1	5	22	9	44	1	VN	VN-SG
106383	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	10	47	5	NULL	NULL
106383	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	10	47	4	NULL	NULL
106383	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	10	46	5	NULL	NULL
106384	VN	VN-HN	480	VND	600	VND	4	0	13	69	NULL	NULL	NULL	VN	VN-HN
106384	VN	VN-HN	480	VND	600	VND	4	0	13	70	NULL	NULL	NULL	VN	VN-HN
106384	VN	VN-HN	480	VND	600	VND	4	0	13	71	NULL	NULL	NULL	VN	VN-HN
106384	VN	VN-HN	480	VND	600	VND	4	0	13	72	NULL	NULL	NULL	VN	VN-HN
106384	VN	VN-HN	480	VND	600	VND	4	0	13	73	NULL	NULL	NULL	VN	VN-HN
106384	VN	VN-HN	480	VND	600	VND	4	0	13	74	NULL	NULL	NULL	VN	VN-HN
106385	VN	VN-SG	600	USD	700	USD	3	1	13	74	12	60	1	VN	VN-SG
106391	VN	VN-SG	7000000	VND	9000000	VND	1	1	5	21	NULL	NULL	NULL	VN	VN-SG
106407	US	US-VA	130000	USD	NULL	VND	13	1	14	83	14	83	1	VN	VN-DN
106407	US	US-VA	130000	USD	NULL	VND	13	1	14	83	14	83	1	VN	VN-DN
106407	US	US-VA	130000	USD	NULL	VND	13	1	14	83	14	83	1	VN	VN-DN
106407	US	US-VA	130000	USD	NULL	VND	13	1	14	83	14	83	1	VN	VN-DN
106407	US	US-VA	130000	USD	NULL	VND	13	1	14	83	14	83	1	VN	VN-DN
106428	VN	VN-57	5800000	VND	6000000	VND	0	1	12	62	NULL	NULL	NULL	VN	VN-57
106428	VN	VN-57	5800000	VND	6000000	VND	0	1	12	64	NULL	NULL	NULL	VN	VN-57
106428	VN	VN-57	5800000	VND	6000000	VND	0	1	12	66	NULL	NULL	NULL	VN	VN-57
106447	VN	VN-61	10000000	VND	12000000	VND	4	0	12	63	NULL	NULL	NULL	VN	VN-61
106447	VN	VN-61	10000000	VND	12000000	VND	4	0	12	63	NULL	NULL	NULL	VN	VN-HP
106451	VN	VN-HN	700	USD	1000	USD	3	1	13	70	13	74	2	VN	VN-HN
106451	VN	VN-HN	700	USD	1000	USD	3	1	13	70	13	74	2	VN	VN-SG
106451	VN	VN-HN	700	USD	1000	USD	3	1	13	73	13	74	2	VN	VN-HN
106451	VN	VN-HN	700	USD	1000	USD	3	1	13	73	13	74	2	VN	VN-SG
106451	VN	VN-HN	700	USD	1000	USD	3	1	13	74	13	74	2	VN	VN-HN
106451	VN	VN-HN	700	USD	1000	USD	3	1	13	74	13	74	2	VN	VN-SG
106470	VN	VN-HP	10000000	VND	15000000	VND	4	0	2	7	NULL	NULL	NULL	VN	VN-HP
106472	VN	VN-63	400	USD	400	USD	0	1	11	56	11	56	1	VN	VN-63
106480	VN	VN-SG	17000000	VND	15000000	VND	8	0	4	18	NULL	NULL	NULL	VN	VN-SG
106480	VN	VN-SG	17000000	VND	15000000	VND	8	0	4	19	NULL	NULL	NULL	VN	VN-SG
106500	NULL	NULL	8500000	VND	9000000	VND	1	1	13	74	NULL	NULL	NULL	VN	VN-39
106504	VN	VN-SG	5000000	VND	7000000	VND	5	0	8	39	NULL	NULL	NULL	VN	VN-SG
106507	VN	VN-DN	6500000	VND	8000000	VND	3	1	13	70	NULL	NULL	NULL	VN	VN-DN
106527	VN	VN-SG	4000000	VND	6000000	VND	NULL	0	4	16	NULL	NULL	NULL	VN	VN-SG
106546	NULL	NULL	600	USD	800	VND	4	0	5	22	NULL	NULL	NULL	VN	VN-SG
106552	VN	VN-SG	10000000	VND	15000000	VND	2	1	7	35	7	35	4	VN	VN-SG
106552	VN	VN-SG	10000000	VND	15000000	VND	2	1	7	36	7	35	4	VN	VN-SG
106558	VN	VN-46	18180000	VND	18000000	VND	15	1	15	86	NULL	NULL	NULL	VN	VN-41
106558	VN	VN-46	18180000	VND	18000000	VND	15	1	15	86	NULL	NULL	NULL	VN	VN-46
106558	VN	VN-46	18180000	VND	18000000	VND	15	1	15	86	NULL	NULL	NULL	VN	VN-47
106558	VN	VN-46	18180000	VND	18000000	VND	15	1	15	86	NULL	NULL	NULL	VN	VN-SG
106558	VN	VN-46	18180000	VND	18000000	VND	15	1	15	87	NULL	NULL	NULL	VN	VN-41
106558	VN	VN-46	18180000	VND	18000000	VND	15	1	15	87	NULL	NULL	NULL	VN	VN-46
106558	VN	VN-46	18180000	VND	18000000	VND	15	1	15	87	NULL	NULL	NULL	VN	VN-47
106558	VN	VN-46	18180000	VND	18000000	VND	15	1	15	87	NULL	NULL	NULL	VN	VN-SG
106558	VN	VN-46	18180000	VND	18000000	VND	15	1	15	90	NULL	NULL	NULL	VN	VN-41
106558	VN	VN-46	18180000	VND	18000000	VND	15	1	15	90	NULL	NULL	NULL	VN	VN-46
106558	VN	VN-46	18180000	VND	18000000	VND	15	1	15	90	NULL	NULL	NULL	VN	VN-47
106558	VN	VN-46	18180000	VND	18000000	VND	15	1	15	90	NULL	NULL	NULL	VN	VN-SG
106565	VN	VN-SG	400	USD	500	USD	0	1	12	59	14	77	1	VN	VN-SG
106572	VN	VN-SG	15000000	VND	1000	USD	5	1	14	77	NULL	NULL	NULL	VN	VN-SG
106580	VN	VN-SG	14	VND	14	VND	10	0	16	91	NULL	NULL	NULL	VN	VN-SG
106593	VN	VN-HN	2000	USD	3000	USD	15	1	2	7	NULL	NULL	NULL	VN	VN-HN
106593	VN	VN-HN	2000	USD	3000	USD	15	1	2	7	NULL	NULL	NULL	VN	VN-SG
106593	VN	VN-HN	2000	USD	3000	USD	15	1	2	8	NULL	NULL	NULL	VN	VN-HN
106593	VN	VN-HN	2000	USD	3000	USD	15	1	2	8	NULL	NULL	NULL	VN	VN-SG
106596	VN	VN-22	7000000	VND	8000000	VND	1	1	12	64	NULL	NULL	NULL	VN	VN-22
106603	VN	VN-41	9000000	VND	10000000	VND	2	1	12	64	NULL	NULL	NULL	VN	VN-41
106627	VN	VN-SG	9000000	VND	NULL	VND	5	0	6	24	NULL	NULL	NULL	VN	VN-SG
106630	VN	VN-SG	5000000	VND	NULL	VND	NULL	0	13	74	16	91	1	VN	VN-SG
106632	VN	VN-39	5500000	VND	6500000	VND	1	1	12	61	8	41	1	VN	VN-39
106632	VN	VN-39	5500000	VND	6500000	VND	1	1	12	64	8	41	1	VN	VN-39
106632	VN	VN-39	5500000	VND	6500000	VND	1	1	12	68	8	41	1	VN	VN-39
106635	VN	VN-SG	7000000	VND	8000000	VND	0	1	14	78	14	78	1	VN	VN-SG
106635	VN	VN-SG	7000000	VND	8000000	VND	0	1	14	78	14	78	1	VN	VN-57
106635	VN	VN-SG	7000000	VND	8000000	VND	0	1	14	83	14	78	1	VN	VN-SG
106635	VN	VN-SG	7000000	VND	8000000	VND	0	1	14	83	14	78	1	VN	VN-57
106635	VN	VN-SG	7000000	VND	8000000	VND	0	1	14	82	14	78	1	VN	VN-SG
106635	VN	VN-SG	7000000	VND	8000000	VND	0	1	14	82	14	78	1	VN	VN-57
106642	VN	VN-HN	350	USD	550	USD	1	1	15	88	15	88	1	VN	VN-HN
106648	VN	VN-20	10000000	VND	15000000	VND	9	0	15	86	NULL	NULL	NULL	VN	VN-25
106648	VN	VN-20	10000000	VND	15000000	VND	9	0	15	86	NULL	NULL	NULL	VN	VN-26
106648	VN	VN-20	10000000	VND	15000000	VND	9	0	15	86	NULL	NULL	NULL	VN	VN-34
106648	VN	VN-20	10000000	VND	15000000	VND	9	0	15	86	NULL	NULL	NULL	VN	VN-57
106648	VN	VN-20	10000000	VND	15000000	VND	9	0	15	86	NULL	NULL	NULL	VN	VN-HN
106648	VN	VN-20	10000000	VND	15000000	VND	9	0	15	86	NULL	NULL	NULL	VN	VN-SG
106648	VN	VN-20	10000000	VND	15000000	VND	9	0	15	90	NULL	NULL	NULL	VN	VN-25
106648	VN	VN-20	10000000	VND	15000000	VND	9	0	15	90	NULL	NULL	NULL	VN	VN-26
106648	VN	VN-20	10000000	VND	15000000	VND	9	0	15	90	NULL	NULL	NULL	VN	VN-34
106648	VN	VN-20	10000000	VND	15000000	VND	9	0	15	90	NULL	NULL	NULL	VN	VN-57
106648	VN	VN-20	10000000	VND	15000000	VND	9	0	15	90	NULL	NULL	NULL	VN	VN-HN
106648	VN	VN-20	10000000	VND	15000000	VND	9	0	15	90	NULL	NULL	NULL	VN	VN-SG
106649	VN	VN-SG	6000000	VND	8000000	VND	2	0	13	73	NULL	NULL	NULL	VN	VN-SG
106654	VN	VN-SG	16000000	VND	20000000	VND	6	1	13	73	10	53	4	VN	VN-SG
106654	VN	VN-SG	16000000	VND	20000000	VND	6	1	13	73	13	74	2	VN	VN-SG
106654	VN	VN-SG	16000000	VND	20000000	VND	6	1	13	73	5	22	1	VN	VN-SG
106656	VN	VN-HN	30000000	VND	NULL	VND	11	1	4	18	4	16	1	VN	VN-HN
106656	VN	VN-HN	30000000	VND	NULL	VND	11	1	4	18	4	18	1	VN	VN-HN
106656	VN	VN-HN	30000000	VND	NULL	VND	11	1	4	18	4	18	2	VN	VN-HN
106656	VN	VN-HN	30000000	VND	NULL	VND	11	1	4	18	4	18	4	VN	VN-HN
106659	VN	VN-SG	22000000	VND	25000000	VND	5	1	12	64	12	64	1	VN	VN-57
106659	VN	VN-SG	22000000	VND	25000000	VND	5	1	12	64	12	64	1	VN	VN-SG
106659	VN	VN-SG	22000000	VND	25000000	VND	5	1	12	64	12	64	2	VN	VN-57
106659	VN	VN-SG	22000000	VND	25000000	VND	5	1	12	64	12	64	2	VN	VN-SG
106663	NULL	NULL	900	USD	1000	USD	6	1	13	73	NULL	NULL	NULL	VN	VN-SG
106663	NULL	NULL	900	USD	1000	USD	6	1	13	74	NULL	NULL	NULL	VN	VN-SG
106663	NULL	NULL	900	USD	1000	USD	6	1	15	85	NULL	NULL	NULL	VN	VN-SG
106663	NULL	NULL	900	USD	1000	USD	6	1	15	88	NULL	NULL	NULL	VN	VN-SG
106672	VN	VN-SG	12500000	VND	14000000	VND	3	1	13	74	NULL	NULL	NULL	VN	VN-SG
106682	NULL	NULL	800	USD	1500	USD	17	0	2	8	NULL	NULL	NULL	VN	VN-SG
106686	NULL	NULL	1	VND	1	VND	0	0	10	49	NULL	NULL	NULL	VN	VN-SG
106687	VN	VN-39	10000000	VND	10000000	VND	13	0	15	87	NULL	NULL	NULL	VN	VN-39
106688	VN	VN-SG	9000000	VND	9000000	VND	16	0	15	89	NULL	NULL	NULL	VN	VN-SG
106698	VN	VN-SG	10000000	VND	15000000	VND	5	1	4	18	NULL	NULL	NULL	VN	VN-57
106698	VN	VN-SG	10000000	VND	15000000	VND	5	1	4	18	NULL	NULL	NULL	VN	VN-SG
106713	VN	VN-57	800	USD	800	USD	8	1	12	62	NULL	NULL	NULL	VN	VN-57
106714	VN	VN-66	5000000	VND	10000000	VND	1	1	4	18	NULL	NULL	NULL	VN	VN-66
106717	VN	VN-HN	5000000	VND	7000000	VND	10	0	11	54	NULL	NULL	NULL	VN	VN-HN
