id	code	vn_job_category_code	vn_job_sub_category_code	salary_from	salary_to	m_currency_code	negotiable_flag	m_province_code	m_country_code
100237	JHN0002674	4	20	400	500	USD	0	VN-HN	VN
100243	JHC0006816	15	90	800	1500	USD	0	VN-SG	VN
100244	JHN0002671	14	84	1000	1100	USD	0	VN-21	VN
100268	JHC0006812	13	75	7000000	8000000	VND	0	VN-SG	VN
100283	JHC0006843	3	15	900	1200	USD	0	VN-SG	VN
100314	JHC0006851	11	56	600	1000	USD	0	VN-DN	VN
100317	JHC0006853	12	62	700	1000	USD	0	VN-57	VN
100320	JHC0006856	12	68	500	600	USD	0	VN-SG	VN
100323	JHN0002686	2	8	1000	1500	USD	0	VN-HN	VN
100345	JHN0002690	14	77	800	1500	USD	0	VN-HN	VN
100471	JHN0006704	10	53	900	900	USD	0	VN-HN	VN
100526	42092016	13	75	10000000	12000000	VND	0	VN-SG	VN
100527	43092016	11	56	12000000	15000000	VND	0	VN-SG	VN
100569	50092016	6	24	20000000	0	VND	0	VN-34	VN
100591	JHC0006940	2	8	1200	2500	USD	0	VN-SG	VN
100609	JHN0002716	13	75	500	500	USD	0	VN-HN	VN
100615	JHC0006960	4	18	1200	1700	USD	0	VN-SG	VN
100670	80092016	2	6	1000	1500	USD	0	VN-SG	VN
100685	84092016	2	8	500	0	USD	0	VN-SG	VN
100686	85092016	11	56	500	0	USD	0	VN-SG	VN
100688	86092016	14	84	500	0	USD	0	VN-SG	VN
100692	JHN0002723	12	62	30000000	40000000	VND	0	VN-HN	VN
100713	JHN0002725	4	20	800	1200	USD	0	VN-HN	VN
100719	JHN0002727	12	59	800	1000	USD	0	VN-HN	VN
100761	JHC0007007	3	15	600	900	USD	0	VN-SG	VN
100787	JHN0002743	3	15	600	1500	USD	0	VN-HN	VN
100849	JHC0007038	12	62	500	800	USD	0	VN-39	VN
100861	JHC0007048	3	15	700	800	USD	0	VN-HN	VN
100905	114102016	11	56	10000000	15000000	VND	0	VN-SG	VN
100934	JHC0007059	4	17	800	1000	USD	0	VN-SG	VN
100958	121102016	13	75	650	1200	USD	0	VN-SG	VN
101019	JHC0007070	3	15	700	2000	USD	0	VN-SG	VN
101062	134102016	6	26	20000000	25000000	VND	0	VN-SG	VN
101134	JHC0007111	3	15	1000	1200	USD	0	VN-SG	VN
101151	149102016	2	8	10000000	0	VND	0	VN-SG	VN
101178	VS8165	2	9	750	750	USD	0	VN-SG	VN
101196	VS9249	11	56	900	1300	USD	0	VN-SG	VN
101216	VS9250	4	17	700	0	USD	0	VN-57	VN
101228	VS9083	15	90	0	600	USD	0	VN-39	VN
101244	155102016	2	6	500	0	USD	0	VN-SG	VN
101280	VS8886	13	75	600	800	USD	0	VN-SG	VN
101320	JHC0006709	13	75	500	750	USD	0	VN-57	VN
101354	VS9119	14	84	600	1000	USD	0	VN-SG	VN
101539	VH7627	13	75	1500	2000	USD	0	VN-HN	VN
101604	JHC0007142	14	84	800	2000	USD	0	VN-SG	VN
101614	JHN0006729	11	56	750	1200	USD	0	VN-HN	VN
101616	JHN0002638	4	17	600	800	USD	0	VN-HN	VN
101649	VH7368	14	84	500	600	USD	0	VN-66	VN
101672	VS8218	4	20	600	800	USD	0	VN-SG	VN
101698	JHN0002645	13	74	500	1000	USD	0	VN-HN	VN
101791	VH7664	14	77	500	600	USD	0	VN-HN	VN
101798	VH7396	14	84	1300	1300	USD	0	VN-HN	VN
101799	VS8233	11	56	1000	2000	USD	0	VN-SG	VN
101873	JHC0007159	4	20	1000	2000	USD	0	VN-SG	VN
101925	VS9000	12	62	500	1000	USD	0	VN-57	VN
102042	VS8796	14	77	500	700	USD	0	VN-57	VN
102058	VH7509	4	17	500	2000	USD	0	VN-HP	VN
102085	VS8365	13	73	500	1000	USD	0	VN-39	VN
102208	VS9248	15	90	800	1200	USD	0	VN-SG	VN
102250	JHC0006644	4	18	500	580	USD	0	VN-SG	VN
102314	167112016	11	56	500	0	USD	0	VN-HN	VN
102337	VS8466	12	60	1000	1000	USD	0	VN-39	VN
102370	VH7596	13	74	0	750	USD	0	VN-HN	VN
102379	JHN0002805	14	84	3500	5000	USD	0	VN-HN	VN
102406	180112016	3	10	500	0	USD	0	VN-SG	VN
102423	187112016	13	75	10000000	0	VND	0	VN-SG	VN
102429	JHC0007178	12	59	2500	3500	USD	0	VN-SG	VN
102440	JHC0007182	12	59	1500	2500	USD	0	VN-SG	VN
102442	JHC0007184	14	83	2500	3500	USD	0	VN-SG	VN
102548	222112016	11	56	500	0	USD	0	VN-HN	VN
102587	225112016	15	90	1000	2000	USD	0	VN-HN	VN
102588	226112016	16	91	3500	5000	USD	0	VN-HN	VN
102592	229112016	12	63	750	1200	USD	0	VN-66	VN
102594	231112016	13	74	2000	3000	USD	0	VN-SG	VN
102601	237112016	2	8	0	2000	USD	0	VN-SG	VN
102602	238112016	2	8	0	1500	USD	0	VN-SG	VN
102651	JHN0002828	13	74	500	800	USD	0	VN-HN	VN
102667	JHC0007231	4	16	24000000	28000000	VND	0	VN-SG	VN
102686	JHC0007244	4	20	1000	1500	USD	0	VN-66	VN
102718	260122016	15	87	1000	1200	USD	0	VN-SG	VN
102772	JHC0007288	14	84	700	900	USD	0	VN-SG	VN
102784	JHN0002860	13	75	500	0	USD	0	VN-HN	VN
102807	275122016	13	74	10000000	12000000	VND	0	VN-SG	VN
102821	JHC0007308	13	74	35000000	40000000	VND	0	VN-SG	VN
102834	288122016	13	75	10000000	16000000	VND	0	VN-SG	VN
102835	289122016	13	71	10000000	16000000	VND	0	VN-SG	VN
102867	JHC0007317	3	15	500	600	USD	0	VN-SG	VN
102914	302122016	3	14	1000	0	USD	0	VN-SG	VN
102915	303122016	7	35	1000	0	USD	0	VN-SG	VN
102932	JHC0007335	14	84	22000000	0	VND	0	VN-SG	VN
102941	JHC0007346	3	15	10000000	13000000	VND	0	VN-SG	VN
102965	JHC0007350	14	84	500	800	USD	0	VN-39	VN
102991	329122016	11	56	500	1000	USD	0	VN-SG	VN
103021	341012017	10	48	500	0	USD	0	VN-HN	VN
103022	342012017	13	73	0	500	USD	0	VN-HN	VN
103024	344012016	10	48	1000	0	USD	0	VN-HN	VN
103029	349012017	13	75	500	0	USD	0	VN-SG	VN
103034	354012017	13	73	500	0	USD	0	VN-HN	VN
103036	355012017	13	74	1000	0	USD	0	VN-SG	VN
103138	369012017	13	74	0	500	USD	0	VN-SG	VN
103404	JHN0002930	3	15	500	800	USD	0	VN-HN	VN
103461	JHC0007528	12	59	18000000	24000000	VND	0	VN-39	VN
103508	JHC0007561	14	84	0	150000	JPY	0	JP-24	JP
103577	374022017	13	74	0	500	USD	0	VN-SG	VN
103642	JHC0007612	6	24	700	1000	USD	0	VN-HN	VN
103695	392032017	4	16	0	1000	USD	0	VN-SG	VN
103715	JHC0007633	4	17	0	12000000	VND	0	VN-39	VN
103796	JHN0003025	7	35	500	600	USD	0	VN-HN	VN
103820	404032017	11	55	800	1600	USD	0	VN-HN	VN
103826	409032017	4	20	0	500	USD	0	VN-SG	VN
103864	JHN0003036	14	77	0	550	USD	0	VN-61	VN
103893	JHC0007708	14	84	10000000	12000000	VND	0	VN-SG	VN
103959	422032017	13	70	20000000	25000000	VND	0	VN-SG	VN
103980	JHC0003055	13	74	650	1500	USD	0	VN-HN	VN
104008	JHC0007745	9	45	10000000	13000000	VND	0	VN-44	VN
104051	JHC0007755	14	77	500	800	USD	0	VN-SG	VN
104096	433042017	2	7	0	500	USD	0	VN-SG	VN
104100	434042017	13	75	25000000	30000000	VND	0	VN-SG	VN
104102	436042017	3	12	8000000	10000000	VND	0	VN-SG	VN
104103	437042017	13	75	1000	1500	USD	0	VN-HN	VN
104108	442042017	12	60	1200	1800	USD	0	VN-SG	VN
104201	JHC0007831	14	76	800	1000	USD	0	VN-SG	VN
104263	JHC0007858	14	84	400	600	USD	0	VN-SG	VN
104282	JHC0007870	14	84	500	800	USD	0	VN-SG	VN
104296	460042017	4	18	14000000	22000000	VND	0	VN-SG	VN
104310	JHC0007887	13	74	900	1000	USD	0	VN-SG	VN
104361	JHC0007906	6	24	0	850	USD	0	VN-SG	VN
104362	JHC0007907	14	84	350	500	USD	0	VN-SG	VN
104363	JHC0007908	13	74	350	600	USD	0	VN-SG	VN
104393	470052017	3	14	1000	0	USD	0	VN-SG	VN
104397	JHC0007924	14	84	0	1000	USD	0	VN-SG	VN
104423	JHC0007941	14	84	600	800	USD	0	VN-57	VN
104436	JHN0003151	14	77	600	650	USD	0	VN-HN	VN
104446	JHC0007952	14	84	0	1200	USD	0	VN-SG	VN
104452	JHN0003159	8	41	600	800	USD	0	VN-HN	VN
104485	JHC0007975	14	84	1400	1500	USD	0	VN-14	VN
104504	JHC0007987	15	86	0	10000000	VND	0	VN-SG	VN
104517	JHC0007993	4	20	0	700	USD	0	VN-SG	VN
104531	JHC0008002	14	84	0	700	USD	0	VN-SG	VN
104550	JHC0008020	4	20	10000000	14000000	VND	0	VN-SG	VN
104557	JHC0008021	15	88	600	650	USD	0	VN-SG	VN
104584	JHC0008036	12	59	500	1000	USD	0	VN-39	VN
104586	478052017	13	75	10000000	14000000	VND	0	VN-SG	VN
104597	JHC0008041	4	20	300	700	USD	0	VN-SG	VN
104621	483052017	13	74	0	1500	USD	0	VN-SG	VN
104670	JHC0008078	6	24	3000000	5000000	JPY	0	LA-VI	LA
104706	JHC0008101	14	84	0	10000000	VND	0	VN-57	VN
104734	JHC0008116	12	59	0	1000	USD	0	VN-39	VN
104758	JHC0008131	16	91	0	15000000	VND	0	VN-SG	VN
104761	JHC0008132	12	59	15000000	20000000	VND	0	VN-57	VN
104770	491062017	13	74	0	25000000	VND	0	VN-SG	VN
104771	492062017	13	74	0	10000000	VND	0	VN-SG	VN
104777	JHC0008137	13	75	500	800	USD	0	VN-SG	VN
104778	JHC0008138	2	6	0	1100	USD	0	VN-SG	VN
104796	JHC0008153	2	8	1500	2500	USD	0	VN-SG	VN
104872	504062017	4	16	0	10000000	VND	0	VN-SG	VN
104877	JHC0008179	13	74	12000000	18000000	VND	0	VN-CT	VN
104891	JHC0008183	9	42	1200	1500	USD	0	VN-SG	VN
104912	JHN0003228	12	62	0	700	USD	0	VN-20	VN
104915	JHN0003229	4	18	0	500	USD	0	VN-HP	VN
104933	JHC0008205	14	84	0	700	USD	0	VN-57	VN
104943	JHC0008211	11	56	10000000	15000000	VND	0	VN-SG	VN
104975	517072017	13	75	0	12000000	VND	0	VN-SG	VN
105023	535072017	11	56	0	500	USD	0	VN-SG	VN
105053	JHC0008254	13	74	650	1000	USD	0	VN-SG	VN
105072	545072017	12	62	10000000	13000000	VND	0	VN-HN	VN
105109	JHN0003250	12	60	0	600	USD	0	VN-56	VN
105167	559072017	13	75	0	500	USD	0	VN-SG	VN
105245	573072017	6	29	0	500	USD	0	VN-HN	VN
105255	JHC0008347	13	74	500	800	USD	0	VN-SG	VN
105290	578072017	14	76	500	1000	USD	0	VN-SG	VN
105298	JHN0003277	13	74	600	800	USD	0	VN-HN	VN
105324	JHC0008380	11	56	500	800	USD	0	VN-SG	VN
105325	JHC0008381	3	14	4000000	8000000	JPY	0	JP-13	JP
105327	JHC0008383	3	12	4000000	8000000	JPY	0	JP-13	JP
105329	JHC0008385	3	12	4000000	8000000	JPY	0	JP-13	JP
105330	580082017	12	63	0	500	USD	0	VN-56	VN
105331	581082017	12	61	800	1000	USD	0	VN-56	VN
105335	JHC0008396	13	74	2000	3000	USD	0	VN-SG	VN
105336	JHC0008398	12	59	1000	1500	USD	0	VN-SG	VN
105338	JHC0008387	3	12	4000000	8000000	JPY	0	JP-13	JP
105341	JHC0008390	11	56	4000000	8000000	JPY	0	JP-13	JP
105343	JHC0008393	2	7	0	750	USD	0	VN-SG	VN
105344	JHC0008401	13	74	55000000	70000000	VND	0	VN-SG	VN
105345	JHC0008402	12	60	35000000	50000000	VND	0	VN-SG	VN
105347	JHC0008394	2	7	600	800	USD	0	VN-SG	VN
105363	JHC0008399	10	48	800	1200	USD	0	VN-SG	VN
105366	JHC0008404	12	62	0	500	USD	1	VN-57	VN
105368	JHC0008405	11	56	700	1000	USD	0	VN-SG	VN
105383	JHN0003284	12	59	1000	1200	USD	0	VN-HN	VN
105388	JHC0008406	4	18	10000000	13000000	VND	0	VN-SG	VN
105390	JHC0008407	3	12	0	800	USD	0	VN-SG	VN
105392	JHC0008409	14	84	10000000	16000000	VND	0	VN-SG	VN
105394	JHC0008408	12	59	12000000	150000000	VND	0	VN-39	VN
105396	JHC0008411	14	77	700	900	USD	0	VN-39	VN
105398	JHC0008414	4	16	12000000	14000000	VND	0	VN-39	VN
105403	587082017	12	60	0	500	USD	0	VN-66	VN
105418	JHC0008422	4	20	700	1000	USD	0	VN-SG	VN
105420	JHC0008425	12	62	600	900	USD	0	VN-SG	VN
105434	JHC0008429	11	56	4000000	7000000	JPY	0	VN-SG	VN
105435	JHC0008430	12	59	15000000	20000000	VND	0	VN-41	VN
105438	JHC0008432	4	16	15000000	2000000	VND	0	VN-41	VN
105440	JHN0003289	12	65	750	1000	USD	0	VN-HN	VN
105443	JHC0008435	13	74	1500	2000	USD	0	VN-SG	VN
105445	JHC0008438	15	86	0	500	USD	0	VN-SG	VN
105446	JHC0008439	12	68	0	14000000	VND	0	VN-39	VN
105447	JHC0008440	4	20	600	800	USD	0	VN-SG	VN
105468	JHC0008442	6	24	600	1000	USD	0	VN-SG	VN
105469	JHC0008443	4	16	0	10000000	VND	0	VN-SG	VN
105476	JHC0008450	12	59	500	600	USD	0	VN-SG	VN
105477	JHC0008452	4	20	14000000	14000000	VND	0	VN-57	VN
105479	JHC0008454	12	59	12000000	15000000	VND	0	VN-39	VN
105480	JHC0008455	12	62	12000000	15000000	VND	0	VN-39	VN
105481	JHC0008456	14	84	12000000	15000000	VND	0	VN-39	VN
105483	JHC0008457	11	56	17000000	18000000	VND	0	VN-39	VN
105484	JHC0008458	12	60	0	1000	USD	0	VN-57	VN
105485	JHN0003294	2	6	15000000	20000000	VND	0	VN-HN	VN
105486	JHN0003295	6	31	20000000	30000000	VND	0	VN-HN	VN
105487	JHC0008459	2	7	900	1000	USD	0	VN-SG	VN
105489	JHC0008461	4	16	0	650	USD	0	VN-39	VN
105490	JHC0008462	12	63	17000000	18000000	VND	0	VN-39	VN
105502	JHC0008465	13	74	1000	2500	USD	0	VN-SG	VN
105503	JHC0008466	13	74	1000	2000	USD	0	VN-39	VN
105504	JHC0008468	12	62	600	800	USD	0	VN-57	VN
105505	JHC0008487	4	18	800	1200	USD	0	VN-39	VN
105506	JHC0008469	12	68	600	800	USD	0	VN-57	VN
105508	JHC0008471	12	59	600	800	USD	0		VN
105510	JHC0008472	7	35	500	0	USD	0	VN-SG	VN
105514	JHN0003296	13	74	17000000	28000000	VND	0	VN-HN	VN
